PERIOD,DATE,SITE,NDVI
53,4/12/2018,PM17,5273
53,4/12/2018,PM6,5222
53,4/12/2018,PM20,4853
53,4/12/2018,PM2,5381
53,4/12/2018,PM9,4281
53,4/12/2018,PM14,4571
53,4/12/2018,PM18,5000
53,4/12/2018,PM15,4354
53,4/12/2018,PM12,4637
53,4/12/2018,PM21,5477
53,4/12/2018,PM16,4504
53,4/12/2018,PM5,4951
53,4/12/2018,PM4,5291
53,4/12/2018,PM3,5434
53,4/12/2018,PM13,4567
53,4/12/2018,PM1,5515
53,4/12/2018,PM22,5829
53,4/12/2018,PM11,4443
53,4/12/2018,PM10,4145
53,4/12/2018,PM19,4675
53,4/12/2018,PM8,5412
54,4/28/2018,PM7,8370
54,4/28/2018,PM16,8038
54,4/28/2018,PM22,8088
54,4/28/2018,PM9,7062
54,4/28/2018,PM15,6514
54,4/28/2018,PM17,8355
54,4/28/2018,PM3,8026
54,4/28/2018,PM5,8370
54,4/28/2018,PM20,8382
54,4/28/2018,PM2,8442
54,4/28/2018,PM12,7617
54,4/28/2018,PM6,8410
54,4/28/2018,PM18,8363
54,4/28/2018,PM4,8332
54,4/28/2018,PM13,7786
54,4/28/2018,PM1,7749
54,4/28/2018,PM10,6861
54,4/28/2018,PM14,6529
54,4/28/2018,PM19,8321
54,4/28/2018,PM8,8268
54,4/28/2018,PM21,8605
54,4/28/2018,PM11,8129
55,5/14/2018,PM5,8736
55,5/14/2018,PM16,8837
55,5/14/2018,PM2,7958
55,5/14/2018,PM6,8665
55,5/14/2018,PM17,8914
55,5/14/2018,PM13,8413
55,5/14/2018,PM12,7714
55,5/14/2018,PM3,8694
55,5/14/2018,PM9,8076
55,5/14/2018,PM14,8042
55,5/14/2018,PM8,8736
55,5/14/2018,PM15,8315
55,5/14/2018,PM10,7826
55,5/14/2018,PM20,8768
55,5/14/2018,PM4,8780
55,5/14/2018,PM1,8385
55,5/14/2018,PM11,8830
55,5/14/2018,PM22,8412
55,5/14/2018,PM7,8781
55,5/14/2018,PM19,8892
55,5/14/2018,PM18,8728
55,5/14/2018,PM21,8914
56,5/30/2018,PM2,8781
56,5/30/2018,PM18,8940
56,5/30/2018,PM17,8786
56,5/30/2018,PM19,9009
56,5/30/2018,PM14,9032
56,5/30/2018,PM20,8833
